Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	NaS_1 Spectral Count	NaS_2 Spectral Count	NaS_3 Spectral Count	LMWPE_biofilm_1 Spectral Count	LMWPE_biofilm_2 Spectral Count	LMWPE_biofilm_3 Spectral Count	LMWPE_1 Spectral Count	LMWPE_2 Spectral Count	LMWPE_3 Spectral Count	NaS_1 Unique Spectral Count	NaS_2 Unique Spectral Count	NaS_3 Unique Spectral Count	LMWPE_biofilm_1 Unique Spectral Count	LMWPE_biofilm_2 Unique Spectral Count	LMWPE_biofilm_3 Unique Spectral Count	LMWPE_1 Unique Spectral Count	LMWPE_2 Unique Spectral Count	LMWPE_3 Unique Spectral Count	NaS_1 Total Spectral Count	NaS_2 Total Spectral Count	NaS_3 Total Spectral Count	LMWPE_biofilm_1 Total Spectral Count	LMWPE_biofilm_2 Total Spectral Count	LMWPE_biofilm_3 Total Spectral Count	LMWPE_1 Total Spectral Count	LMWPE_2 Total Spectral Count	LMWPE_3 Total Spectral Count	NaS_1 Intensity	NaS_2 Intensity	NaS_3 Intensity	LMWPE_biofilm_1 Intensity	LMWPE_biofilm_2 Intensity	LMWPE_biofilm_3 Intensity	LMWPE_1 Intensity	LMWPE_2 Intensity	LMWPE_3 Intensity	NaS_1 MaxLFQ Intensity	NaS_2 MaxLFQ Intensity	NaS_3 MaxLFQ Intensity	LMWPE_biofilm_1 MaxLFQ Intensity	LMWPE_biofilm_2 MaxLFQ Intensity	LMWPE_biofilm_3 MaxLFQ Intensity	LMWPE_1 MaxLFQ Intensity	LMWPE_2 MaxLFQ Intensity	LMWPE_3 MaxLFQ Intensity	Indistinguishable Proteins
AtRMS-02_contig_1_1722	AtRMS-02_contig_1_1722 rank: C; 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4] (db=kegg)	AtRMS-02_contig_1_1722 rank: C; 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4] (db=kegg)	NA	533	NA	NA	AtRMS-02_contig_1_1722 rank: C; 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4] (db=kegg)	1	0.999	22	504	504	504	67	73	58	23	25	28	63	62	60	67	73	58	23	25	28	63	62	60	67	73	58	23	25	28	63	62	60	1766844	2080129.5	1601959.9	583177.06	540624.3	742424	1204362.5	1177174.4	1098305.9	231151.62	257726.52	220071.31	98455.266	89634.484	98929.21	147653.62	144019.69	133062.47	NA
AtRMS-02_contig_1_1723	AtRMS-02_contig_1_1723 rank: C; methylglutaconyl-CoA hydratase [EC:4.2.1.18] (db=kegg)	AtRMS-02_contig_1_1723 rank: C; methylglutaconyl-CoA hydratase [EC:4.2.1.18] (db=kegg)	NA	265	NA	NA	AtRMS-02_contig_1_1723 rank: C; methylglutaconyl-CoA hydratase [EC:4.2.1.18] (db=kegg)	1	0.999	10	179	179	179	20	29	21	15	21	20	18	19	15	20	29	21	15	21	20	18	19	15	20	29	21	15	21	20	18	19	15	444250.56	545700.6	554682.1	200571.84	196505.27	284526.84	669518.44	331477.62	292953.06	168539.06	171547.66	186831.06	79004.41	74072.75	80188.98	94858.35	99315.36	97974.98	NA
AtRMS-02_contig_1_1724	AtRMS-02_contig_1_1724 rank: C; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4] (db=kegg)	AtRMS-02_contig_1_1724 rank: C; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4] (db=kegg)	NA	664	NA	NA	AtRMS-02_contig_1_1724 rank: C; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4] (db=kegg)	1	0.999	31	556	556	556	73	81	80	32	32	39	56	58	57	73	81	80	32	32	39	56	58	57	73	81	80	32	32	39	56	58	57	1617781.1	1996438.4	1745112.9	657479.75	666150.4	817865.06	948645.2	842021.4	941136.9	184016.7	210323.48	219190.05	91061.664	81545.555	93287.95	99307.28	102765.63	101767.11	NA
AtRMS-02_contig_1_1725	AtRMS-02_contig_1_1725 rank: C; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4] (db=kegg)	AtRMS-02_contig_1_1725 rank: C; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4] (db=kegg)	NA	300	NA	NA	AtRMS-02_contig_1_1725 rank: C; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4] (db=kegg)	1	0.999	15	180	180	180	35	42	32	10	9	15	12	10	15	35	42	32	10	9	15	12	10	15	35	42	32	10	9	15	12	10	15	706580.56	765708.44	781094.5	87963.92	80307.516	121529.734	134129.86	162329.48	171532.36	91636.45	101155.92	112784.76	36710.734	32123.133	38113.285	38060.312	34434.758	37856.273	NA
AtRMS-02_contig_1_1726	AtRMS-02_contig_1_1726 rank: C; 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5] (db=kegg)	AtRMS-02_contig_1_1726 rank: C; 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5] (db=kegg)	NA	234	NA	NA	AtRMS-02_contig_1_1726 rank: C; 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5] (db=kegg)	1	0.999	11	155	155	155	22	24	14	7	8	4	16	10	11	22	24	14	7	8	4	16	10	11	22	24	14	7	8	4	16	10	11	330676.5	383990.8	417724.1	88513.16	55287.36	116204.14	123107.13	114755.664	110296.12	75996.54	85679.9	109845.21	36539.54	36146.703	70223.27	38928.074	42058.484	43182.12	NA
AtRMS-02_contig_1_1727	AtRMS-02_contig_1_1727 rank: C; 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5] (db=kegg)	AtRMS-02_contig_1_1727 rank: C; 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5] (db=kegg)	NA	212	NA	NA	AtRMS-02_contig_1_1727 rank: C; 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5] (db=kegg)	1	0.999	8	209	209	209	24	22	17	22	11	12	17	8	21	24	22	17	22	11	12	17	8	21	24	22	17	22	11	12	17	8	21	703925.8	602735.44	658802.3	258494.98	234310.64	237146.9	208576.66	203926.34	197563.22	169020.94	154569.38	172936.31	64904.55	57043.598	72907.336	67013.73	67318.39	61340.312	NA
AtRMS-02_contig_1_173	AtRMS-02_contig_1_173 rank: C; molecular chaperone DnaK (db=kegg)	AtRMS-02_contig_1_173 rank: C; molecular chaperone DnaK (db=kegg)	NA	645	NA	NA	AtRMS-02_contig_1_173 rank: C; molecular chaperone DnaK (db=kegg)	1	0.999	68	5321	5321	5321	544	556	500	445	455	444	573	610	622	544	556	500	445	455	444	573	610	622	544	556	500	445	455	444	573	610	622	34219016	36276536	39646852	44845204	44019844	49299648	49229800	47933868	48620916	2631646.8	2627041.2	2685846.5	3074329	2985646.2	3625289.5	3440649.8	3405248.5	3498348.5	NA
AtRMS-02_contig_1_1730	AtRMS-02_contig_1_1730 rank: C; OmpA-OmpF porin, OOP family (db=kegg)	AtRMS-02_contig_1_1730 rank: C; OmpA-OmpF porin, OOP family (db=kegg)	NA	494	NA	NA	AtRMS-02_contig_1_1730 rank: C; OmpA-OmpF porin, OOP family (db=kegg)	1	0.999	23	1437	1437	1437	79	64	71	155	134	137	192	186	210	79	64	71	155	134	137	192	186	210	79	64	71	155	134	137	192	186	210	4414528.5	3749546	3437351.5	15231804	14224970	13781932	18163538	17081492	19483130	519529.4	408879.4	428607.03	1609746.1	1493856.1	1428758.8	1894365.4	1797613.9	1959421.9	NA
AtRMS-02_contig_1_1731	AtRMS-02_contig_1_1731 rank: D; Dihydro-orotase-like [PF12890.13] (db=pfam)	AtRMS-02_contig_1_1731 rank: D; Dihydro-orotase-like [PF12890.13] (db=pfam)	NA	411	NA	NA	AtRMS-02_contig_1_1731 rank: D; Dihydro-orotase-like [PF12890.13] (db=pfam)	1	0.999	21	775	775	775	68	72	60	77	66	62	65	75	53	68	72	60	77	66	62	65	75	53	68	72	60	77	66	62	65	75	53	1933370.4	2057833.6	1519551.6	1843397	1942851.9	1620679.1	1893293.8	1987093.9	1710520.9	375423.12	373275.06	374417.66	260608.3	248776.9	249543.95	337235.03	347851.28	311108.9	NA
AtRMS-02_contig_1_1732	AtRMS-02_contig_1_1732 rank: C; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2] (db=kegg)	AtRMS-02_contig_1_1732 rank: C; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2] (db=kegg)	NA	338	NA	NA	AtRMS-02_contig_1_1732 rank: C; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2] (db=kegg)	1	0.999	20	630	630	630	58	66	53	50	42	51	65	72	46	58	66	53	50	42	51	65	72	46	58	66	53	50	42	51	65	72	46	2398604.5	2632501	3322925.5	2872976.5	2086923.9	3211884.5	2426515.8	2610814.2	1958058.8	498647.94	554913.06	588648.8	470862.66	458530.8	468961	505894.8	527705.75	446617.6	NA
AtRMS-02_contig_1_1734	AtRMS-02_contig_1_1734 rank: C; 23S rRNA (guanine2069-N7)-methyltransferase / 23S rRNA (guanine2445-N2)-methyltransferase [EC:2.1.1.264 2.1.1.173] (db=kegg)	AtRMS-02_contig_1_1734 rank: C; 23S rRNA (guanine2069-N7)-methyltransferase / 23S rRNA (guanine2445-N2)-methyltransferase [EC:2.1.1.264 2.1.1.173] (db=kegg)	NA	734	NA	NA	AtRMS-02_contig_1_1734 rank: C; 23S rRNA (guanine2069-N7)-methyltransferase / 23S rRNA (guanine2445-N2)-methyltransferase [EC:2.1.1.264 2.1.1.173] (db=kegg)	1	0.999	35	520	520	520	67	69	55	40	44	46	60	69	58	67	69	55	40	44	46	60	69	58	67	69	55	40	44	46	60	69	58	1409554.4	1572587.9	1336479.8	1003173.06	955552.75	1256785.1	1580562.5	1488061.9	1447564.1	115784.57	130839.02	136888.83	113789.28	120772.6	130010.67	142760.88	141228.25	136882.81	NA
AtRMS-02_contig_1_1735	AtRMS-02_contig_1_1735 rank: E	AtRMS-02_contig_1_1735 rank: E	NA	427	NA	NA	AtRMS-02_contig_1_1735 rank: E	1	0.999	25	955	955	955	74	62	63	90	95	96	108	105	92	74	62	63	90	95	96	108	105	92	74	62	63	90	95	96	108	105	92	1539093.4	1661572	1588926.4	3387879	3455540.2	3361105.8	3022820	3380452.2	3296821	190539.75	197174.8	201886.4	355255.22	347988.25	351911.97	344563.25	357293.88	333425.88	NA
AtRMS-02_contig_1_1736	AtRMS-02_contig_1_1736 rank: C; ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)	AtRMS-02_contig_1_1736 rank: C; ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)	NA	859	NA	NA	AtRMS-02_contig_1_1736 rank: C; ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)	1	0.999	76	3812	3812	3812	387	389	357	382	355	288	447	440	463	387	389	357	382	355	288	447	440	463	387	389	357	382	355	288	447	440	463	24917284	26707854	24816342	28560916	26675004	23067158	32366312	32951258	35892016	1765079.6	1743568.4	1739641.8	1831954.6	1679025.8	1571046.9	2137249	2187096.5	2242472.8	NA
AtRMS-02_contig_1_1737	AtRMS-02_contig_1_1737 rank: C; putative redox protein (db=kegg)	AtRMS-02_contig_1_1737 rank: C; putative redox protein (db=kegg)	NA	140	NA	NA	AtRMS-02_contig_1_1737 rank: C; putative redox protein (db=kegg)	1	0.999	6	626	626	626	78	66	46	48	39	42	64	72	44	78	66	46	48	39	42	64	72	44	78	66	46	48	39	42	64	72	44	1455045.5	1584070.2	1467109	1251708.9	1231639	1532741.9	1553615.1	1479386.1	1448846.8	360379.47	410590.62	351614.97	339998.28	298530.28	376292.2	383370.25	351147.84	339910.84	NA
AtRMS-02_contig_1_1738	AtRMS-02_contig_1_1738 rank: C; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein (db=kegg)	AtRMS-02_contig_1_1738 rank: C; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein (db=kegg)	NA	234	NA	NA	AtRMS-02_contig_1_1738 rank: C; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein (db=kegg)	1	0.999	12	704	704	704	78	86	89	66	60	57	66	91	72	78	86	89	66	60	57	66	91	72	78	86	89	66	60	57	66	91	72	3052349	3129674.2	3382893.8	3472368.8	3227934	2936206.8	2562814.2	2445732	3008582.2	539535.9	575646.8	630294.56	575135.06	558158.6	513192.62	521097.22	478464.97	557407.2	NA
AtRMS-02_contig_1_1739	AtRMS-02_contig_1_1739 rank: D; Aldo/keto reductase family [PF00248.27] (db=pfam)	AtRMS-02_contig_1_1739 rank: D; Aldo/keto reductase family [PF00248.27] (db=pfam)	NA	349	NA	NA	AtRMS-02_contig_1_1739 rank: D; Aldo/keto reductase family [PF00248.27] (db=pfam)	1	0.999	18	425	425	425	42	48	47	32	29	36	56	48	40	42	48	47	32	29	36	56	48	40	42	48	47	32	29	36	56	48	40	1989421.1	2103695.8	2168280	2444209	1952286	1963431	2731460.2	2306124.8	2331936.8	834301.44	820619.8	988956.9	573618.06	588570.1	607424.44	733045.56	711512.7	767911.5	NA
AtRMS-02_contig_1_174	AtRMS-02_contig_1_174 rank: C; molecular chaperone GrpE (db=kegg)	AtRMS-02_contig_1_174 rank: C; molecular chaperone GrpE (db=kegg)	NA	179	NA	NA	AtRMS-02_contig_1_174 rank: C; molecular chaperone GrpE (db=kegg)	1	0.999	8	128	128	128	7	7	7	9	13	13	15	15	13	7	7	7	9	13	13	15	15	13	7	7	7	9	13	13	15	15	13	239527.5	207486.47	409115.38	381433.4	511381.25	140282.64	376096.5	338827.16	292260.3	108579.55	116817.305	154452.86	160063.48	209037.02	88193.53	125005.59	137238.73	130745.34	NA
AtRMS-02_contig_1_1740	AtRMS-02_contig_1_1740 rank: C; metalloendopeptidase OMA1, mitochondrial [EC:3.4.24.-] (db=kegg)	AtRMS-02_contig_1_1740 rank: C; metalloendopeptidase OMA1, mitochondrial [EC:3.4.24.-] (db=kegg)	NA	260	NA	NA	AtRMS-02_contig_1_1740 rank: C; metalloendopeptidase OMA1, mitochondrial [EC:3.4.24.-] (db=kegg)	1	0.999	17	1700	1700	1700	84	59	63	166	156	129	180	144	135	84	59	63	166	156	129	180	144	135	84	59	63	166	156	129	180	144	135	2702387.2	2607642.2	2309987.2	11081295	11084984	9539777	10023666	9891634	10095361	417929.1	391482.53	425970.7	1333907.8	1269001.2	1242048.5	1213302.8	1304315.2	1324438.4	NA
AtRMS-02_contig_1_1742	AtRMS-02_contig_1_1742 rank: C; adenylosuccinate synthase [EC:6.3.4.4] (db=kegg)	AtRMS-02_contig_1_1742 rank: C; adenylosuccinate synthase [EC:6.3.4.4] (db=kegg)	NA	439	NA	NA	AtRMS-02_contig_1_1742 rank: C; adenylosuccinate synthase [EC:6.3.4.4] (db=kegg)	1	0.999	28	1588	1588	1588	150	166	126	122	128	102	176	159	158	150	166	126	122	128	102	176	159	158	150	166	126	122	128	102	176	159	158	7316875.5	8465096	7244381.5	8285184.5	8353846.5	8461517	8698222	8369252	8689940	1006144.94	1112685	1019710.7	1023448.94	969796.9	1254666.5	1127043.9	1100777.2	1205070.8	NA
AtRMS-02_contig_1_1743	AtRMS-02_contig_1_1743 rank: C; ATP phosphoribosyltransferase regulatory subunit (db=kegg)	AtRMS-02_contig_1_1743 rank: C; ATP phosphoribosyltransferase regulatory subunit (db=kegg)	NA	388	NA	NA	AtRMS-02_contig_1_1743 rank: C; ATP phosphoribosyltransferase regulatory subunit (db=kegg)	1	0.999	26	478	478	478	32	38	39	56	57	50	63	59	49	32	38	39	56	57	50	63	59	49	32	38	39	56	57	50	63	59	49	1481767.2	1287368.5	1268554.9	2720301.2	2503381	2030868.9	2294804	2459652	2146474.8	205092.62	215040.11	205068.55	299681.4	285079.7	298411.16	289507.72	311471.34	316023.16	NA
AtRMS-02_contig_1_1744	AtRMS-02_contig_1_1744 rank: E	AtRMS-02_contig_1_1744 rank: E	NA	104	NA	NA	AtRMS-02_contig_1_1744 rank: E	0.9995	0.999	2	9	9	9	0	0	0	4	3	2	0	0	0	0	0	0	4	3	2	0	0	0	0	0	0	4	3	2	0	0	0	0	0	0	54784.49	49931.332	46101.28	0	0	0	0	0	0	38075.203	32714.559	41438.14	0	0	0	NA
AtRMS-02_contig_1_1745	AtRMS-02_contig_1_1745 rank: D; Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25]; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.30] (db=pfam)	AtRMS-02_contig_1_1745 rank: D; Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25]; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.30] (db=pfam)	NA	344	NA	NA	AtRMS-02_contig_1_1745 rank: D; Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25]; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.30] (db=pfam)	1	0.999	12	275	275	275	16	20	14	24	20	23	28	33	19	16	20	14	24	20	23	28	33	19	16	20	14	24	20	23	28	33	19	516366.53	534420.8	530675.4	703853.1	704347.2	794075.6	990728	993089.3	511311.5	173455.39	155160.97	231974.86	159129.14	162681.34	187430.66	192808.23	193619.1	183799.69	NA
AtRMS-02_contig_1_1746	AtRMS-02_contig_1_1746 rank: C; alanyl-tRNA synthetase [EC:6.1.1.7] (db=kegg)	AtRMS-02_contig_1_1746 rank: C; alanyl-tRNA synthetase [EC:6.1.1.7] (db=kegg)	NA	892	NA	NA	AtRMS-02_contig_1_1746 rank: C; alanyl-tRNA synthetase [EC:6.1.1.7] (db=kegg)	1	0.999	65	3080	3080	3080	318	339	319	264	293	286	345	304	322	318	339	319	264	293	286	345	304	322	318	339	319	264	293	286	345	304	322	17763632	18300628	17773124	17410032	17402998	17767348	17693860	17844010	17356086	1529569.8	1562037.5	1508386.6	1347139.6	1330106.8	1324550.9	1442030.6	1407775.1	1409475	NA
AtRMS-02_contig_1_1747	AtRMS-02_contig_1_1747 rank: C; aspartate kinase [EC:2.7.2.4] (db=kegg)	AtRMS-02_contig_1_1747 rank: C; aspartate kinase [EC:2.7.2.4] (db=kegg)	NA	426	NA	NA	AtRMS-02_contig_1_1747 rank: C; aspartate kinase [EC:2.7.2.4] (db=kegg)	1	0.999	25	1608	1608	1608	171	159	191	164	142	148	174	176	173	171	159	191	164	142	148	174	176	173	171	159	191	164	142	148	174	176	173	10152568	10955124	12178671	13102918	12882679	14663551	9837936	9906750	10950130	2106069	2190434.2	2558439	3101326.8	3025078.8	3103394.8	2072600.9	2027856.5	2287205.5	NA
AtRMS-02_contig_1_1748	AtRMS-02_contig_1_1748 rank: C; carbon storage regulator (db=kegg)	AtRMS-02_contig_1_1748 rank: C; carbon storage regulator (db=kegg)	NA	84	NA	NA	AtRMS-02_contig_1_1748 rank: C; carbon storage regulator (db=kegg)	1	0.999	4	185	185	185	4	13	0	39	45	33	24	17	10	4	13	0	39	45	33	24	17	10	4	13	0	39	45	33	24	17	10	61853.65	208938.03	0	2091574.8	1796914	1619080.8	327076.22	268885	202576.52	0	73413.45	0	387570.88	336535.1	613348.7	98980.72	96605.57	75329.805	NA
AtRMS-02_contig_1_1749	AtRMS-02_contig_1_1749 rank: C; ribonuclease HII [EC:3.1.26.4] (db=kegg)	AtRMS-02_contig_1_1749 rank: C; ribonuclease HII [EC:3.1.26.4] (db=kegg)	NA	194	NA	NA	AtRMS-02_contig_1_1749 rank: C; ribonuclease HII [EC:3.1.26.4] (db=kegg)	1	0.999	6	12	12	12	0	0	2	0	3	7	0	0	0	0	0	2	0	3	7	0	0	0	0	0	2	0	3	7	0	0	0	0	0	22848.213	0	38823.26	110421.53	0	0	0	0	0	0	0	20912.463	46975.29	0	0	0	NA
AtRMS-02_contig_1_175	AtRMS-02_contig_1_175 rank: E	AtRMS-02_contig_1_175 rank: E	NA	155	NA	NA	AtRMS-02_contig_1_175 rank: E	1	0.999	7	53	53	53	0	0	0	2	4	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	72398.44	83895.97	0	0	0	0	0	0	0	34972.637	27838.953	0	0	0	0	NA
AtRMS-02_contig_1_1750	AtRMS-02_contig_1_1750 rank: E	AtRMS-02_contig_1_1750 rank: E	NA	128	NA	NA	AtRMS-02_contig_1_1750 rank: E	1	0.999	7	872	872	872	34	38	48	59	50	53	63	47	57	34	38	48	59	50	53	63	47	57	34	38	48	59	50	53	63	47	57	993879.44	925518.25	1203161.1	4269815.5	4291251.5	3164181.8	2725512.5	2610719.8	2671229	287550.78	254248.1	325560.56	864044.9	827223.06	733168.44	552485.2	596788.2	555201.8	NA
AtRMS-02_contig_1_1753	AtRMS-02_contig_1_1753 rank: C; adenine deaminase [EC:3.5.4.2] (db=kegg)	AtRMS-02_contig_1_1753 rank: C; adenine deaminase [EC:3.5.4.2] (db=kegg)	NA	333	NA	NA	AtRMS-02_contig_1_1753 rank: C; adenine deaminase [EC:3.5.4.2] (db=kegg)	1	0.999	16	253	253	253	37	26	26	19	20	21	22	19	23	37	26	26	19	20	21	22	19	23	37	26	26	19	20	21	22	19	23	599920.6	598500.6	519909.38	554650.75	645702.2	705858.1	604443.2	668563.2	669708.56	165713.4	159437.4	171391.95	165302.36	163514.78	189189.25	208033.12	206119.16	193712.64	NA
AtRMS-02_contig_1_1754	AtRMS-02_contig_1_1754 rank: C; adenine/guanine/hypoxanthine permease (db=kegg)	AtRMS-02_contig_1_1754 rank: C; adenine/guanine/hypoxanthine permease (db=kegg)	NA	440	NA	NA	AtRMS-02_contig_1_1754 rank: C; adenine/guanine/hypoxanthine permease (db=kegg)	1	0.999	5	51	51	51	2	2	4	5	3	4	6	9	4	2	2	4	5	3	4	6	9	4	2	2	4	5	3	4	6	9	4	89764.75	93560.38	58586.004	100528.62	100346.31	165921.97	126092.15	181371.97	100277.44	50823.543	51408.27	0	86398.4	86647.664	107492.56	100460.25	98415.69	0	NA
AtRMS-02_contig_1_1757	AtRMS-02_contig_1_1757 rank: D; Domain of unknown function (DUF3644) [PF12358.13] (db=pfam)	AtRMS-02_contig_1_1757 rank: D; Domain of unknown function (DUF3644) [PF12358.13] (db=pfam)	NA	321	NA	NA	AtRMS-02_contig_1_1757 rank: D; Domain of unknown function (DUF3644) [PF12358.13] (db=pfam)	1	0.999	14	134	134	134	7	7	9	24	20	14	7	13	3	7	7	9	24	20	14	7	13	3	7	7	9	24	20	14	7	13	3	50426.152	79974.55	128315.07	379199.06	357638.34	361018.7	64347.367	95070.086	56949.766	35513.688	42290.184	50408.754	57299.977	63814.656	54837.082	40823.08	38830.797	35319.184	NA
AtRMS-02_contig_1_1758	AtRMS-02_contig_1_1758 rank: C; protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13] (db=kegg)	AtRMS-02_contig_1_1758 rank: C; protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13] (db=kegg)	NA	675	NA	NA	AtRMS-02_contig_1_1758 rank: C; protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13] (db=kegg)	1	0.999	25	286	286	286	34	34	34	23	22	26	26	31	29	34	34	34	23	22	26	26	31	29	34	34	34	23	22	26	26	31	29	500748.38	426723.97	620970.2	247008.05	235256.05	293106.8	371264.88	543880.1	436503.6	58323.44	52838.355	62410.625	37155.086	39383	39901.887	49662.438	55829.105	49562.688	NA
AtRMS-02_contig_1_1759	AtRMS-02_contig_1_1759 rank: D; Protein of unknown function DUF58 [PF01882.25] (db=pfam)	AtRMS-02_contig_1_1759 rank: D; Protein of unknown function DUF58 [PF01882.25] (db=pfam)	NA	302	NA	NA	AtRMS-02_contig_1_1759 rank: D; Protein of unknown function DUF58 [PF01882.25] (db=pfam)	1	0.999	4	34	34	34	3	4	6	5	0	8	1	4	2	3	4	6	5	0	8	1	4	2	3	4	6	5	0	8	1	4	2	36868.184	23593.668	47792.535	22798.387	0	88547.11	11907.056	28533.59	16776.246	25185.88	0	32664.61	21046.656	0	26189.541	0	16689.316	0	NA
AtRMS-02_contig_1_176	AtRMS-02_contig_1_176 rank: D; alpha/beta hydrolase fold [PF07859.19]; BD-FAE [PF20434.5]; Steryl acetyl hydrolase [PF10340.15] (db=pfam)	AtRMS-02_contig_1_176 rank: D; alpha/beta hydrolase fold [PF07859.19]; BD-FAE [PF20434.5]; Steryl acetyl hydrolase [PF10340.15] (db=pfam)	NA	357	NA	NA	AtRMS-02_contig_1_176 rank: D; alpha/beta hydrolase fold [PF07859.19]; BD-FAE [PF20434.5]; Steryl acetyl hydrolase [PF10340.15] (db=pfam)	1	0.999	20	541	541	541	15	18	16	86	73	83	77	65	55	15	18	16	86	73	83	77	65	55	15	18	16	86	73	83	77	65	55	295406.44	357241.6	374987.25	4871346	4944822	4769700	2822701.2	2887964.8	2732721.2	69564.15	73818.586	101490.09	591970.94	581549.7	638874.44	453203.7	452121.28	464344.12	NA
AtRMS-02_contig_1_1760	AtRMS-02_contig_1_1760 rank: C; MoxR-like ATPase [EC:3.6.3.-] (db=kegg)	AtRMS-02_contig_1_1760 rank: C; MoxR-like ATPase [EC:3.6.3.-] (db=kegg)	NA	332	NA	NA	AtRMS-02_contig_1_1760 rank: C; MoxR-like ATPase [EC:3.6.3.-] (db=kegg)	1	0.999	18	369	369	369	48	48	37	34	38	36	46	46	36	48	48	37	34	38	36	46	46	36	48	48	37	34	38	36	46	46	36	896785.8	1097040.6	839128.06	966192.56	967856.3	803970.4	701190.25	753757.25	640546.25	138356.61	142630.97	150616.78	121344.1	118817.19	110573.3	97255.88	103908.625	93236.92	NA
AtRMS-02_contig_1_1762	AtRMS-02_contig_1_1762 rank: C; carbon starvation protein (db=kegg)	AtRMS-02_contig_1_1762 rank: C; carbon starvation protein (db=kegg)	NA	699	NA	NA	AtRMS-02_contig_1_1762 rank: C; carbon starvation protein (db=kegg)	1	0.999	10	183	183	183	10	12	14	21	21	15	18	23	18	10	12	14	21	21	15	18	23	18	10	12	14	21	21	15	18	23	18	269572.88	401644.8	464616.56	1462697	992094	876239.4	655865.9	663733.1	613233.25	93265.38	133079.25	126176.484	356436.7	330899.62	312551.56	192996.81	193482.5	179378.12	NA
AtRMS-02_contig_1_1764	AtRMS-02_contig_1_1764 rank: C; elongation factor P (db=kegg)	AtRMS-02_contig_1_1764 rank: C; elongation factor P (db=kegg)	NA	189	NA	NA	AtRMS-02_contig_1_1764 rank: C; elongation factor P (db=kegg)	1	0.999	10	615	615	615	61	50	68	40	37	54	62	73	57	61	50	68	40	37	54	62	73	57	61	50	68	40	37	54	62	73	57	6974074	6609384	6940314	6621091.5	7698620	7853901.5	6712918.5	6679312	6668115.5	2941053.5	2577373.5	2502869.8	4030774	4380593.5	3726939.5	3064754.2	2740266.8	3258506.8	NA
AtRMS-02_contig_1_1765	AtRMS-02_contig_1_1765 rank: C; L-lysine 2,3-aminomutase [EC:5.4.3.-] (db=kegg)	AtRMS-02_contig_1_1765 rank: C; L-lysine 2,3-aminomutase [EC:5.4.3.-] (db=kegg)	NA	338	NA	NA	AtRMS-02_contig_1_1765 rank: C; L-lysine 2,3-aminomutase [EC:5.4.3.-] (db=kegg)	1	0.999	12	44	44	44	1	5	7	5	5	7	3	7	2	1	5	7	5	5	7	3	7	2	1	5	7	5	5	7	3	7	2	27435.266	46112.246	87370.66	32870.78	38119.938	41038.75	67775.54	82086.04	36688.89	0	23724.486	44708.492	15940.712	17856.887	24872.3	24426.076	25434.361	27503.334	NA
